funfun.ko	KEGG.pathway	pathway.name
ko00730	ko00730	Thiamine##metabolism
ko00740	ko00740	Riboflavin##metabolism
ko00750	ko00750	Vitamin##B6##metabolism
ko00760	ko00760	Nicotinate##and##nicotinamide##metabolism
ko00770	ko00770	Pantothenate##and##CoA##biosynthesis
ko00780	ko00780	Biotin##metabolism
ko00785	ko00785	Lipoic##acid##metabolism
ko00790	ko00790	Folate##biosynthesis
ko00791	ko00791	Atrazine##degradation
ko00830	ko00830	Retinol##metabolism
ko00860	ko00860	Porphyrin##metabolism
ko00900	ko00900	Terpenoid##backbone##biosynthesis
ko00901	ko00901	Indole##alkaloid##biosynthesis
ko00902	ko00902	Monoterpenoid##biosynthesis
ko00903	ko00903	Limonene##degradation
ko00904	ko00904	Diterpenoid##biosynthesis
ko00905	ko00905	Brassinosteroid##biosynthesis
ko00906	ko00906	Carotenoid##biosynthesis
ko00908	ko00908	Zeatin##biosynthesis
ko00909	ko00909	Sesquiterpenoid##and##triterpenoid##biosynthesis
ko00910	ko00910	Nitrogen##metabolism
ko00920	ko00920	Sulfur##metabolism
ko00930	ko00930	Caprolactam##degradation
ko00940	ko00940	Phenylpropanoid##biosynthesis
ko00941	ko00941	Flavonoid##biosynthesis
ko00942	ko00942	Anthocyanin##biosynthesis
ko00943	ko00943	Isoflavonoid##biosynthesis
ko00944	ko00944	Flavone##and##flavonol##biosynthesis
ko00945	ko00945	Stilbenoid,##diarylheptanoid##and##gingerol##biosynthesis
ko00950	ko00950	Isoquinoline##alkaloid##biosynthesis
ko00960	ko00960	Tropane,##piperidine##and##pyridine##alkaloid##biosynthesis
ko00965	ko00965	Betalain##biosynthesis
ko00966	ko00966	Glucosinolate##biosynthesis
ko00970	ko00970	Aminoacyl-tRNA##biosynthesis
ko00980	ko00980	Metabolism##of##xenobiotics##by##cytochrome##P450
ko00981	ko00981	Insect##hormone##biosynthesis
ko00982	ko00982	Drug##metabolism##-##cytochrome##P450
ko00983	ko00983	Drug##metabolism##-##other##enzymes
ko00984	ko00984	Steroid##degradation
ko00997	ko00997	Biosynthesis##of##various##other##secondary##metabolites
ko00998	ko00998	Biosynthesis##of##various##antibiotics
ko00999	ko00999	Biosynthesis##of##various##plant##secondary##metabolites
ko01040	ko01040	Biosynthesis##of##unsaturated##fatty##acids
ko01051	ko01051	Biosynthesis##of##ansamycins
ko01052	ko01052	Type##I##polyketide##structures
ko01053	ko01053	Biosynthesis##of##siderophore##group##nonribosomal##peptides
ko01054	ko01054	Nonribosomal##peptide##structures
ko01055	ko01055	Biosynthesis##of##vancomycin##group##antibiotics
ko01056	ko01056	Biosynthesis##of##type##II##polyketide##backbone
ko01057	ko01057	Biosynthesis##of##type##II##polyketide##products
ko01059	ko01059	Biosynthesis##of##enediyne##antibiotics
ko02010	ko02010	ABC##transporters
ko02020	ko02020	Two-component##system
ko02024	ko02024	Quorum##sensing
ko02025	ko02025	Biofilm##formation##-##Pseudomonas##aeruginosa
ko02026	ko02026	Biofilm##formation##-##Escherichia##coli
ko02030	ko02030	Bacterial##chemotaxis
ko02040	ko02040	Flagellar##assembly
ko02060	ko02060	Phosphotransferase##system##(PTS)
ko03008	ko03008	Ribosome##biogenesis##in##eukaryotes
ko03010	ko03010	Ribosome
ko03013	ko03013	Nucleocytoplasmic##transport
ko03015	ko03015	mRNA##surveillance##pathway
ko03018	ko03018	RNA##degradation
ko03020	ko03020	RNA##polymerase
ko03022	ko03022	Basal##transcription##factors
ko03030	ko03030	DNA##replication
ko03040	ko03040	Spliceosome
ko03050	ko03050	Proteasome
ko03060	ko03060	Protein##export
ko03070	ko03070	Bacterial##secretion##system
ko03230	ko03230	Viral##genome##structure
ko03320	ko03320	PPAR##signaling##pathway
ko03410	ko03410	Base##excision##repair
ko03420	ko03420	Nucleotide##excision##repair
ko03430	ko03430	Mismatch##repair
ko03440	ko03440	Homologous##recombination
ko03450	ko03450	Non-homologous##end-joining
ko03460	ko03460	Fanconi##anemia##pathway
ko04010	ko04010	MAPK##signaling##pathway
ko04011	ko04011	MAPK##signaling##pathway##-##yeast
ko04012	ko04012	ErbB##signaling##pathway
ko04013	ko04013	MAPK##signaling##pathway##-##fly
ko04014	ko04014	Ras##signaling##pathway
ko04015	ko04015	Rap1##signaling##pathway
ko04016	ko04016	MAPK##signaling##pathway##-##plant
ko04020	ko04020	Calcium##signaling##pathway
ko04022	ko04022	cGMP-PKG##signaling##pathway
ko04024	ko04024	cAMP##signaling##pathway
ko04062	ko04062	Chemokine##signaling##pathway
ko04064	ko04064	NF-kappa##B##signaling##pathway
ko04066	ko04066	HIF-1##signaling##pathway
ko04068	ko04068	FoxO##signaling##pathway
ko04070	ko04070	Phosphatidylinositol##signaling##system
ko04071	ko04071	Sphingolipid##signaling##pathway
ko04072	ko04072	Phospholipase##D##signaling##pathway
ko04075	ko04075	Plant##hormone##signal##transduction
ko04080	ko04080	Neuroactive##ligand-receptor##interaction
ko04110	ko04110	Cell##cycle
ko04111	ko04111	Cell##cycle##-##yeast
ko04112	ko04112	Cell##cycle##-##Caulobacter
ko04113	ko04113	Meiosis##-##yeast
ko04114	ko04114	Oocyte##meiosis
ko04115	ko04115	p53##signaling##pathway
ko04120	ko04120	Ubiquitin##mediated##proteolysis
ko04122	ko04122	Sulfur##relay##system
ko04130	ko04130	SNARE##interactions##in##vesicular##transport
ko04136	ko04136	Autophagy##-##other
ko04137	ko04137	Mitophagy##-##animal
ko04138	ko04138	Autophagy##-##yeast
ko04139	ko04139	Mitophagy##-##yeast
ko04140	ko04140	Autophagy##-##animal
ko04141	ko04141	Protein##processing##in##endoplasmic##reticulum
ko04142	ko04142	Lysosome
ko04144	ko04144	Endocytosis
ko04145	ko04145	Phagosome
ko04146	ko04146	Peroxisome
ko04150	ko04150	mTOR##signaling##pathway
ko04151	ko04151	PI3K-Akt##signaling##pathway
ko04152	ko04152	AMPK##signaling##pathway
ko04210	ko04210	Apoptosis
ko04211	ko04211	Longevity##regulating##pathway
ko04212	ko04212	Longevity##regulating##pathway##-##worm
ko04213	ko04213	Longevity##regulating##pathway##-##multiple##species
ko04214	ko04214	Apoptosis##-##fly
ko04215	ko04215	Apoptosis##-##multiple##species
ko04216	ko04216	Ferroptosis
ko04217	ko04217	Necroptosis
ko04218	ko04218	Cellular##senescence
ko04260	ko04260	Cardiac##muscle##contraction
ko04261	ko04261	Adrenergic##signaling##in##cardiomyocytes
ko04270	ko04270	Vascular##smooth##muscle##contraction
ko04310	ko04310	Wnt##signaling##pathway
ko04320	ko04320	Dorso-ventral##axis##formation
ko04330	ko04330	Notch##signaling##pathway
ko04340	ko04340	Hedgehog##signaling##pathway
ko04341	ko04341	Hedgehog##signaling##pathway##-##fly
ko04350	ko04350	TGF-beta##signaling##pathway
ko04360	ko04360	Axon##guidance
ko04361	ko04361	Axon##regeneration
ko04370	ko04370	VEGF##signaling##pathway
ko04371	ko04371	Apelin##signaling##pathway
ko04380	ko04380	Osteoclast##differentiation
ko04390	ko04390	Hippo##signaling##pathway
ko04391	ko04391	Hippo##signaling##pathway##-##fly
ko04392	ko04392	Hippo##signaling##pathway##-##multiple##species
ko04510	ko04510	Focal##adhesion
ko04512	ko04512	ECM-receptor##interaction
ko04514	ko04514	Cell##adhesion##molecules
ko04520	ko04520	Adherens##junction
ko04530	ko04530	Tight##junction
ko04540	ko04540	Gap##junction
ko04550	ko04550	Signaling##pathways##regulating##pluripotency##of##stem##cells
ko04610	ko04610	Complement##and##coagulation##cascades
ko04611	ko04611	Platelet##activation
ko04612	ko04612	Antigen##processing##and##presentation
ko04613	ko04613	Neutrophil##extracellular##trap##formation
ko04614	ko04614	Renin-angiotensin##system
ko04620	ko04620	Toll-like##receptor##signaling##pathway
ko04621	ko04621	NOD-like##receptor##signaling##pathway
ko04622	ko04622	RIG-I-like##receptor##signaling##pathway
ko04623	ko04623	Cytosolic##DNA-sensing##pathway
ko04624	ko04624	Toll##and##Imd##signaling##pathway
ko04625	ko04625	C-type##lectin##receptor##signaling##pathway
ko04626	ko04626	Plant-pathogen##interaction
ko04630	ko04630	JAK-STAT##signaling##pathway
ko04640	ko04640	Hematopoietic##cell##lineage
ko04650	ko04650	Natural##killer##cell##mediated##cytotoxicity
ko04657	ko04657	IL-17##signaling##pathway
ko04658	ko04658	Th1##and##Th2##cell##differentiation
ko04659	ko04659	Th17##cell##differentiation
ko04660	ko04660	T##cell##receptor##signaling##pathway
ko04662	ko04662	B##cell##receptor##signaling##pathway
ko04664	ko04664	Fc##epsilon##RI##signaling##pathway
ko04666	ko04666	Fc##gamma##R-mediated##phagocytosis
ko04668	ko04668	TNF##signaling##pathway
ko04670	ko04670	Leukocyte##transendothelial##migration
ko04672	ko04672	Intestinal##immune##network##for##IgA##production
ko04710	ko04710	Circadian##rhythm
ko04711	ko04711	Circadian##rhythm##-##fly
ko04712	ko04712	Circadian##rhythm##-##plant
ko04713	ko04713	Circadian##entrainment
ko04714	ko04714	Thermogenesis
ko04720	ko04720	Long-term##potentiation
ko04721	ko04721	Synaptic##vesicle##cycle
ko04722	ko04722	Neurotrophin##signaling##pathway
ko04723	ko04723	Retrograde##endocannabinoid##signaling
ko04724	ko04724	Glutamatergic##synapse
ko04725	ko04725	Cholinergic##synapse
ko04726	ko04726	Serotonergic##synapse
ko04727	ko04727	GABAergic##synapse
ko04728	ko04728	Dopaminergic##synapse
ko04730	ko04730	Long-term##depression
ko04740	ko04740	Olfactory##transduction
ko04742	ko04742	Taste##transduction
ko04744	ko04744	Phototransduction
ko04745	ko04745	Phototransduction##-##fly
ko04750	ko04750	Inflammatory##mediator##regulation##of##TRP##channels
ko04810	ko04810	Regulation##of##actin##cytoskeleton
ko04910	ko04910	Insulin##signaling##pathway
ko04911	ko04911	Insulin##secretion
ko04912	ko04912	GnRH##signaling##pathway
ko04913	ko04913	Ovarian##steroidogenesis
ko04914	ko04914	Progesterone-mediated##oocyte##maturation
ko04915	ko04915	Estrogen##signaling##pathway
ko04916	ko04916	Melanogenesis
ko04917	ko04917	Prolactin##signaling##pathway
ko04918	ko04918	Thyroid##hormone##synthesis
ko04919	ko04919	Thyroid##hormone##signaling##pathway
ko04920	ko04920	Adipocytokine##signaling##pathway
ko04921	ko04921	Oxytocin##signaling##pathway
ko04922	ko04922	Glucagon##signaling##pathway
ko04923	ko04923	Regulation##of##lipolysis##in##adipocytes
ko04924	ko04924	Renin##secretion
ko04925	ko04925	Aldosterone##synthesis##and##secretion
ko04926	ko04926	Relaxin##signaling##pathway
ko04927	ko04927	Cortisol##synthesis##and##secretion
ko04928	ko04928	Parathyroid##hormone##synthesis,##secretion##and##action
ko04929	ko04929	GnRH##secretion
ko04935	ko04935	Growth##hormone##synthesis,##secretion##and##action
ko04960	ko04960	Aldosterone-regulated##sodium##reabsorption
ko04961	ko04961	Endocrine##and##other##factor-regulated##calcium##reabsorption
ko04962	ko04962	Vasopressin-regulated##water##reabsorption
ko04964	ko04964	Proximal##tubule##bicarbonate##reclamation
ko04966	ko04966	Collecting##duct##acid##secretion
ko04970	ko04970	Salivary##secretion
ko04971	ko04971	Gastric##acid##secretion
ko04972	ko04972	Pancreatic##secretion
ko04973	ko04973	Carbohydrate##digestion##and##absorption
ko04974	ko04974	Protein##digestion##and##absorption
ko04975	ko04975	Fat##digestion##and##absorption
ko04976	ko04976	Bile##secretion
ko04977	ko04977	Vitamin##digestion##and##absorption
ko04978	ko04978	Mineral##absorption
ko04979	ko04979	Cholesterol##metabolism
ko05111	ko05111	Biofilm##formation##-##Vibrio##cholerae
